Year,Year ending,Offence Division,Offence Subdivision,Family Incident Flag,Incidents Recorded,"Rate per 100,000 population"
2019,March,A Crimes against the person,A10 Homicide and related offences,Family incident related,21,0.3
2019,March,A Crimes against the person,A10 Homicide and related offences,Not family incident related,144,2.2
2019,March,A Crimes against the person,A20 Assault and related offences,Family incident related,"20,339",308.3
2019,March,A Crimes against the person,A20 Assault and related offences,Not family incident related,"20,227",306.6
2019,March,A Crimes against the person,A30 Sexual offences,Family incident related,"2,945",44.6
2019,March,A Crimes against the person,A30 Sexual offences,Not family incident related,"5,474",83.0
2019,March,A Crimes against the person,A40 Abduction and related offences,Family incident related,249,3.8
2019,March,A Crimes against the person,A40 Abduction and related offences,Not family incident related,189,2.9
2019,March,A Crimes against the person,A50 Robbery,Family incident related,33,0.5
2019,March,A Crimes against the person,A50 Robbery,Not family incident related,"2,585",39.2
2019,March,A Crimes against the person,A60 Blackmail and extortion,Family incident related,20,0.3
2019,March,A Crimes against the person,A60 Blackmail and extortion,Not family incident related,159,2.4
2019,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Family incident related,"3,849",58.3
2019,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Not family incident related,"3,338",50.6
2019,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Family incident related,576,8.7
2019,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Not family incident related,"3,500",53.1
2019,March,B Property and deception offences,B10 Arson,Family incident related,65,1.0
2019,March,B Property and deception offences,B10 Arson,Not family incident related,"2,929",44.4
2019,March,B Property and deception offences,B20 Property damage,Family incident related,"5,290",80.2
2019,March,B Property and deception offences,B20 Property damage,Not family incident related,"28,431",431.0
2019,March,B Property and deception offences,B30 Burglary/Break and enter,Family incident related,263,4.0
2019,March,B Property and deception offences,B30 Burglary/Break and enter,Not family incident related,"36,423",552.1
2019,March,B Property and deception offences,B40 Theft,Family incident related,373,5.7
2019,March,B Property and deception offences,B40 Theft,Not family incident related,"135,163","2,048.9"
2019,March,B Property and deception offences,B50 Deception,Family incident related,194,2.9
2019,March,B Property and deception offences,B50 Deception,Not family incident related,"22,360",338.9
2019,March,B Property and deception offences,B60 Bribery,Not family incident related,4,0.1
2019,March,C Drug offences,C10 Drug dealing and trafficking,Family incident related,64,1.0
2019,March,C Drug offences,C10 Drug dealing and trafficking,Not family incident related,"2,973",45.1
2019,March,C Drug offences,C20 Cultivate or manufacture drugs,Family incident related,52,0.8
2019,March,C Drug offences,C20 Cultivate or manufacture drugs,Not family incident related,"1,047",15.9
2019,March,C Drug offences,C30 Drug use and possession,Family incident related,289,4.4
2019,March,C Drug offences,C30 Drug use and possession,Not family incident related,"11,726",177.8
2019,March,C Drug offences,C90 Other drug offences,Family incident related,2,0.0
2019,March,C Drug offences,C90 Other drug offences,Not family incident related,29,0.4
2019,March,D Public order and security offences,D10 Weapons and explosives offences,Family incident related,466,7.1
2019,March,D Public order and security offences,D10 Weapons and explosives offences,Not family incident related,"9,166",138.9
2019,March,D Public order and security offences,D20 Disorderly and offensive conduct,Family incident related,114,1.7
2019,March,D Public order and security offences,D20 Disorderly and offensive conduct,Not family incident related,"12,114",183.6
2019,March,D Public order and security offences,D30 Public nuisance offences,Family incident related,114,1.7
2019,March,D Public order and security offences,D30 Public nuisance offences,Not family incident related,"2,075",31.5
2019,March,D Public order and security offences,D40 Public security offences,Family incident related,1,0.0
2019,March,D Public order and security offences,D40 Public security offences,Not family incident related,25,0.4
2019,March,E Justice procedures offences,E10 Justice procedures,Family incident related,344,5.2
2019,March,E Justice procedures offences,E10 Justice procedures,Not family incident related,"7,380",111.9
2019,March,E Justice procedures offences,E20 Breaches of orders,Family incident related,"21,021",318.7
2019,March,E Justice procedures offences,E20 Breaches of orders,Not family incident related,"20,756",314.6
2019,March,F Other offences,F10 Regulatory driving offences,Not family incident related,8,0.1
2019,March,F Other offences,F20 Transport regulation offences,Family incident related,2,0.0
2019,March,F Other offences,F20 Transport regulation offences,Not family incident related,264,4.0
2019,March,F Other offences,F30 Other government regulatory offences,Family incident related,1,0.0
2019,March,F Other offences,F30 Other government regulatory offences,Not family incident related,190,2.9
2019,March,F Other offences,F90 Miscellaneous offences,Family incident related,10,0.2
2019,March,F Other offences,F90 Miscellaneous offences,Not family incident related,311,4.7
2018,March,A Crimes against the person,A10 Homicide and related offences,Family incident related,35,0.5
2018,March,A Crimes against the person,A10 Homicide and related offences,Not family incident related,151,2.3
2018,March,A Crimes against the person,A20 Assault and related offences,Family incident related,"19,750",305.6
2018,March,A Crimes against the person,A20 Assault and related offences,Not family incident related,"19,275",298.3
2018,March,A Crimes against the person,A30 Sexual offences,Family incident related,"2,832",43.8
2018,March,A Crimes against the person,A30 Sexual offences,Not family incident related,"5,519",85.4
2018,March,A Crimes against the person,A40 Abduction and related offences,Family incident related,204,3.2
2018,March,A Crimes against the person,A40 Abduction and related offences,Not family incident related,197,3.0
2018,March,A Crimes against the person,A50 Robbery,Family incident related,19,0.3
2018,March,A Crimes against the person,A50 Robbery,Not family incident related,"2,485",38.5
2018,March,A Crimes against the person,A60 Blackmail and extortion,Family incident related,15,0.2
2018,March,A Crimes against the person,A60 Blackmail and extortion,Not family incident related,104,1.6
2018,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Family incident related,"3,585",55.5
2018,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Not family incident related,"3,173",49.1
2018,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Family incident related,537,8.3
2018,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Not family incident related,"3,703",57.3
2018,March,B Property and deception offences,B10 Arson,Family incident related,62,1.0
2018,March,B Property and deception offences,B10 Arson,Not family incident related,"2,964",45.9
2018,March,B Property and deception offences,B20 Property damage,Family incident related,"5,259",81.4
2018,March,B Property and deception offences,B20 Property damage,Not family incident related,"30,681",474.8
2018,March,B Property and deception offences,B30 Burglary/Break and enter,Family incident related,218,3.4
2018,March,B Property and deception offences,B30 Burglary/Break and enter,Not family incident related,"42,509",657.8
2018,March,B Property and deception offences,B40 Theft,Family incident related,370,5.7
2018,March,B Property and deception offences,B40 Theft,Not family incident related,"130,074","2,012.9"
2018,March,B Property and deception offences,B50 Deception,Family incident related,152,2.4
2018,March,B Property and deception offences,B50 Deception,Not family incident related,"20,037",310.1
2018,March,B Property and deception offences,B60 Bribery,Not family incident related,5,0.1
2018,March,C Drug offences,C10 Drug dealing and trafficking,Family incident related,51,0.8
2018,March,C Drug offences,C10 Drug dealing and trafficking,Not family incident related,"2,696",41.7
2018,March,C Drug offences,C20 Cultivate or manufacture drugs,Family incident related,35,0.5
2018,March,C Drug offences,C20 Cultivate or manufacture drugs,Not family incident related,949,14.7
2018,March,C Drug offences,C30 Drug use and possession,Family incident related,227,3.5
2018,March,C Drug offences,C30 Drug use and possession,Not family incident related,"10,638",164.6
2018,March,C Drug offences,C90 Other drug offences,Family incident related,7,0.1
2018,March,C Drug offences,C90 Other drug offences,Not family incident related,31,0.5
2018,March,D Public order and security offences,D10 Weapons and explosives offences,Family incident related,384,5.9
2018,March,D Public order and security offences,D10 Weapons and explosives offences,Not family incident related,"8,424",130.4
2018,March,D Public order and security offences,D20 Disorderly and offensive conduct,Family incident related,112,1.7
2018,March,D Public order and security offences,D20 Disorderly and offensive conduct,Not family incident related,"12,887",199.4
2018,March,D Public order and security offences,D30 Public nuisance offences,Family incident related,116,1.8
2018,March,D Public order and security offences,D30 Public nuisance offences,Not family incident related,"1,842",28.5
2018,March,D Public order and security offences,D40 Public security offences,Family incident related,2,0.0
2018,March,D Public order and security offences,D40 Public security offences,Not family incident related,52,0.8
2018,March,E Justice procedures offences,E10 Justice procedures,Family incident related,317,4.9
2018,March,E Justice procedures offences,E10 Justice procedures,Not family incident related,"7,047",109.1
2018,March,E Justice procedures offences,E20 Breaches of orders,Family incident related,"19,465",301.2
2018,March,E Justice procedures offences,E20 Breaches of orders,Not family incident related,"18,798",290.9
2018,March,F Other offences,F10 Regulatory driving offences,Not family incident related,4,0.1
2018,March,F Other offences,F20 Transport regulation offences,Family incident related,1,0.0
2018,March,F Other offences,F20 Transport regulation offences,Not family incident related,260,4.0
2018,March,F Other offences,F30 Other government regulatory offences,Family incident related,1,0.0
2018,March,F Other offences,F30 Other government regulatory offences,Not family incident related,198,3.1
2018,March,F Other offences,F90 Miscellaneous offences,Family incident related,18,0.3
2018,March,F Other offences,F90 Miscellaneous offences,Not family incident related,215,3.3
2017,March,A Crimes against the person,A10 Homicide and related offences,Family incident related,39,0.6
2017,March,A Crimes against the person,A10 Homicide and related offences,Not family incident related,141,2.2
2017,March,A Crimes against the person,A20 Assault and related offences,Family incident related,"20,433",323.2
2017,March,A Crimes against the person,A20 Assault and related offences,Not family incident related,"18,777",297.0
2017,March,A Crimes against the person,A30 Sexual offences,Family incident related,"2,748",43.5
2017,March,A Crimes against the person,A30 Sexual offences,Not family incident related,"4,733",74.9
2017,March,A Crimes against the person,A40 Abduction and related offences,Family incident related,247,3.9
2017,March,A Crimes against the person,A40 Abduction and related offences,Not family incident related,222,3.5
2017,March,A Crimes against the person,A50 Robbery,Family incident related,28,0.4
2017,March,A Crimes against the person,A50 Robbery,Not family incident related,"2,502",39.6
2017,March,A Crimes against the person,A60 Blackmail and extortion,Family incident related,18,0.3
2017,March,A Crimes against the person,A60 Blackmail and extortion,Not family incident related,123,1.9
2017,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Family incident related,"3,832",60.6
2017,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Not family incident related,"3,062",48.4
2017,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Family incident related,596,9.4
2017,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Not family incident related,"3,833",60.6
2017,March,B Property and deception offences,B10 Arson,Family incident related,76,1.2
2017,March,B Property and deception offences,B10 Arson,Not family incident related,"3,245",51.3
2017,March,B Property and deception offences,B20 Property damage,Family incident related,"5,504",87.1
2017,March,B Property and deception offences,B20 Property damage,Not family incident related,"31,985",506.0
2017,March,B Property and deception offences,B30 Burglary/Break and enter,Family incident related,256,4.0
2017,March,B Property and deception offences,B30 Burglary/Break and enter,Not family incident related,"50,389",797.1
2017,March,B Property and deception offences,B40 Theft,Family incident related,414,6.5
2017,March,B Property and deception offences,B40 Theft,Not family incident related,"152,523","2,412.7"
2017,March,B Property and deception offences,B50 Deception,Family incident related,184,2.9
2017,March,B Property and deception offences,B50 Deception,Not family incident related,"21,522",340.5
2017,March,B Property and deception offences,B60 Bribery,Not family incident related,5,0.1
2017,March,C Drug offences,C10 Drug dealing and trafficking,Family incident related,38,0.6
2017,March,C Drug offences,C10 Drug dealing and trafficking,Not family incident related,"3,013",47.7
2017,March,C Drug offences,C20 Cultivate or manufacture drugs,Family incident related,45,0.7
2017,March,C Drug offences,C20 Cultivate or manufacture drugs,Not family incident related,988,15.6
2017,March,C Drug offences,C30 Drug use and possession,Family incident related,310,4.9
2017,March,C Drug offences,C30 Drug use and possession,Not family incident related,"11,330",179.2
2017,March,C Drug offences,C90 Other drug offences,Family incident related,4,0.1
2017,March,C Drug offences,C90 Other drug offences,Not family incident related,29,0.5
2017,March,D Public order and security offences,D10 Weapons and explosives offences,Family incident related,378,6.0
2017,March,D Public order and security offences,D10 Weapons and explosives offences,Not family incident related,"9,035",142.9
2017,March,D Public order and security offences,D20 Disorderly and offensive conduct,Family incident related,133,2.1
2017,March,D Public order and security offences,D20 Disorderly and offensive conduct,Not family incident related,"13,039",206.3
2017,March,D Public order and security offences,D30 Public nuisance offences,Family incident related,138,2.2
2017,March,D Public order and security offences,D30 Public nuisance offences,Not family incident related,"1,720",27.2
2017,March,D Public order and security offences,D40 Public security offences,Family incident related,3,0.0
2017,March,D Public order and security offences,D40 Public security offences,Not family incident related,26,0.4
2017,March,E Justice procedures offences,E10 Justice procedures,Family incident related,347,5.5
2017,March,E Justice procedures offences,E10 Justice procedures,Not family incident related,"8,142",128.8
2017,March,E Justice procedures offences,E20 Breaches of orders,Family incident related,"19,929",315.3
2017,March,E Justice procedures offences,E20 Breaches of orders,Not family incident related,"19,422",307.2
2017,March,F Other offences,F10 Regulatory driving offences,Not family incident related,9,0.1
2017,March,F Other offences,F20 Transport regulation offences,Not family incident related,404,6.4
2017,March,F Other offences,F30 Other government regulatory offences,Family incident related,3,0.0
2017,March,F Other offences,F30 Other government regulatory offences,Not family incident related,177,2.8
2017,March,F Other offences,F90 Miscellaneous offences,Family incident related,19,0.3
2017,March,F Other offences,F90 Miscellaneous offences,Not family incident related,196,3.1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
