,Location Subdivision,Offence Subdivision,Incidents Recorded
0,11 Dwelling - private,A20 Assault and related offences,22679.0
1,11 Dwelling - private,A50 Robbery,273.0
2,11 Dwelling - private,"A70 Stalking, harassment and threatening behaviour",4975.0
3,11 Dwelling - private,A80 Dangerous and negligent acts endangering people,674.0
4,11 Dwelling - private,B10 Arson,535.0
5,11 Dwelling - private,B20 Property damage,12934.0
6,11 Dwelling - private,B30 Burglary/Break and enter,20432.0
7,11 Dwelling - private,B40 Theft,22062.0
8,11 Dwelling - private,B50 Deception,4600.0
9,11 Dwelling - private,C10 Drug dealing and trafficking,1248.0
10,11 Dwelling - private,C20 Cultivate or manufacture drugs,686.0
11,11 Dwelling - private,C30 Drug use and possession,1740.0
12,11 Dwelling - private,C90 Other drug offences,12.0
13,11 Dwelling - private,D10 Weapons and explosives offences,1819.0
14,11 Dwelling - private,D20 Disorderly and offensive conduct,269.0
15,11 Dwelling - private,D30 Public nuisance offences,865.0
16,11 Dwelling - private,D40 Public security offences,10.0
17,11 Dwelling - private,E10 Justice procedures,1102.0
18,11 Dwelling - private,E20 Breaches of orders,19695.0
19,11 Dwelling - private,F10 Regulatory driving offences,1.0
20,11 Dwelling - private,F30 Other government regulatory offences,35.0
21,11 Dwelling - private,F90 Miscellaneous offences,75.0
22,11 Dwelling - private,Other crimes against the person,5318.0
23,12 Dwelling  - non-private,A20 Assault and related offences,670.0
24,12 Dwelling  - non-private,A50 Robbery,20.0
25,12 Dwelling  - non-private,"A70 Stalking, harassment and threatening behaviour",78.0
26,12 Dwelling  - non-private,A80 Dangerous and negligent acts endangering people,22.0
27,12 Dwelling  - non-private,B10 Arson,29.0
28,12 Dwelling  - non-private,B20 Property damage,464.0
29,12 Dwelling  - non-private,B30 Burglary/Break and enter,761.0
30,12 Dwelling  - non-private,B40 Theft,1220.0
31,12 Dwelling  - non-private,B50 Deception,201.0
32,12 Dwelling  - non-private,C10 Drug dealing and trafficking,38.0
33,12 Dwelling  - non-private,C20 Cultivate or manufacture drugs,8.0
34,12 Dwelling  - non-private,C30 Drug use and possession,95.0
35,12 Dwelling  - non-private,D10 Weapons and explosives offences,60.0
36,12 Dwelling  - non-private,D20 Disorderly and offensive conduct,77.0
37,12 Dwelling  - non-private,D30 Public nuisance offences,37.0
38,12 Dwelling  - non-private,D40 Public security offences,1.0
39,12 Dwelling  - non-private,E10 Justice procedures,49.0
40,12 Dwelling  - non-private,E20 Breaches of orders,350.0
41,12 Dwelling  - non-private,F20 Transport regulation offences,2.0
42,12 Dwelling  - non-private,F30 Other government regulatory offences,6.0
43,12 Dwelling  - non-private,F90 Miscellaneous offences,1.0
44,12 Dwelling  - non-private,Other crimes against the person,279.0
45,13 Grounds/surrounding land,A20 Assault and related offences,1676.0
46,13 Grounds/surrounding land,A50 Robbery,77.0
47,13 Grounds/surrounding land,"A70 Stalking, harassment and threatening behaviour",169.0
48,13 Grounds/surrounding land,A80 Dangerous and negligent acts endangering people,159.0
49,13 Grounds/surrounding land,B10 Arson,371.0
50,13 Grounds/surrounding land,B20 Property damage,4484.0
51,13 Grounds/surrounding land,B30 Burglary/Break and enter,6141.0
52,13 Grounds/surrounding land,B40 Theft,27942.0
53,13 Grounds/surrounding land,B50 Deception,320.0
54,13 Grounds/surrounding land,C10 Drug dealing and trafficking,87.0
55,13 Grounds/surrounding land,C20 Cultivate or manufacture drugs,117.0
56,13 Grounds/surrounding land,C30 Drug use and possession,224.0
57,13 Grounds/surrounding land,C90 Other drug offences,2.0
58,13 Grounds/surrounding land,D10 Weapons and explosives offences,305.0
59,13 Grounds/surrounding land,D20 Disorderly and offensive conduct,78.0
60,13 Grounds/surrounding land,D30 Public nuisance offences,202.0
61,13 Grounds/surrounding land,D40 Public security offences,1.0
62,13 Grounds/surrounding land,E10 Justice procedures,122.0
63,13 Grounds/surrounding land,E20 Breaches of orders,1384.0
64,13 Grounds/surrounding land,F20 Transport regulation offences,1.0
65,13 Grounds/surrounding land,F30 Other government regulatory offences,5.0
66,13 Grounds/surrounding land,F90 Miscellaneous offences,40.0
67,13 Grounds/surrounding land,Other crimes against the person,212.0
68,21 Education,A20 Assault and related offences,673.0
69,21 Education,A50 Robbery,43.0
70,21 Education,"A70 Stalking, harassment and threatening behaviour",96.0
71,21 Education,A80 Dangerous and negligent acts endangering people,23.0
72,21 Education,B10 Arson,67.0
73,21 Education,B20 Property damage,858.0
74,21 Education,B30 Burglary/Break and enter,994.0
75,21 Education,B40 Theft,1755.0
76,21 Education,B50 Deception,84.0
77,21 Education,C10 Drug dealing and trafficking,9.0
78,21 Education,C20 Cultivate or manufacture drugs,1.0
79,21 Education,C30 Drug use and possession,116.0
80,21 Education,C90 Other drug offences,1.0
81,21 Education,D10 Weapons and explosives offences,86.0
82,21 Education,D20 Disorderly and offensive conduct,54.0
83,21 Education,D30 Public nuisance offences,132.0
84,21 Education,D40 Public security offences,1.0
85,21 Education,E10 Justice procedures,22.0
86,21 Education,E20 Breaches of orders,430.0
87,21 Education,F30 Other government regulatory offences,3.0
88,21 Education,F90 Miscellaneous offences,5.0
89,21 Education,Other crimes against the person,342.0
90,22 Health,A20 Assault and related offences,592.0
91,22 Health,A50 Robbery,11.0
92,22 Health,"A70 Stalking, harassment and threatening behaviour",133.0
93,22 Health,A80 Dangerous and negligent acts endangering people,11.0
94,22 Health,B10 Arson,17.0
95,22 Health,B20 Property damage,402.0
96,22 Health,B30 Burglary/Break and enter,336.0
97,22 Health,B40 Theft,911.0
98,22 Health,B50 Deception,139.0
99,22 Health,C10 Drug dealing and trafficking,10.0
100,22 Health,C20 Cultivate or manufacture drugs,1.0
101,22 Health,C30 Drug use and possession,88.0
102,22 Health,D10 Weapons and explosives offences,45.0
103,22 Health,D20 Disorderly and offensive conduct,57.0
104,22 Health,D30 Public nuisance offences,23.0
105,22 Health,D40 Public security offences,1.0
106,22 Health,E10 Justice procedures,24.0
107,22 Health,E20 Breaches of orders,261.0
108,22 Health,Other crimes against the person,135.0
109,23 Religious,A20 Assault and related offences,48.0
110,23 Religious,A50 Robbery,3.0
111,23 Religious,"A70 Stalking, harassment and threatening behaviour",9.0
112,23 Religious,B10 Arson,11.0
113,23 Religious,B20 Property damage,185.0
114,23 Religious,B30 Burglary/Break and enter,266.0
115,23 Religious,B40 Theft,277.0
116,23 Religious,B50 Deception,5.0
117,23 Religious,C10 Drug dealing and trafficking,4.0
118,23 Religious,C30 Drug use and possession,3.0
119,23 Religious,D10 Weapons and explosives offences,2.0
120,23 Religious,D20 Disorderly and offensive conduct,8.0
121,23 Religious,D30 Public nuisance offences,8.0
122,23 Religious,D40 Public security offences,1.0
123,23 Religious,E10 Justice procedures,4.0
124,23 Religious,E20 Breaches of orders,49.0
125,23 Religious,Other crimes against the person,33.0
126,24 Public Transport,A20 Assault and related offences,1318.0
127,24 Public Transport,A50 Robbery,278.0
128,24 Public Transport,"A70 Stalking, harassment and threatening behaviour",69.0
129,24 Public Transport,A80 Dangerous and negligent acts endangering people,35.0
130,24 Public Transport,B10 Arson,22.0
131,24 Public Transport,B20 Property damage,1743.0
132,24 Public Transport,B30 Burglary/Break and enter,35.0
133,24 Public Transport,B40 Theft,4064.0
134,24 Public Transport,B50 Deception,278.0
135,24 Public Transport,C10 Drug dealing and trafficking,37.0
136,24 Public Transport,C20 Cultivate or manufacture drugs,4.0
137,24 Public Transport,C30 Drug use and possession,610.0
138,24 Public Transport,C90 Other drug offences,1.0
139,24 Public Transport,D10 Weapons and explosives offences,526.0
140,24 Public Transport,D20 Disorderly and offensive conduct,1098.0
141,24 Public Transport,D30 Public nuisance offences,42.0
142,24 Public Transport,E10 Justice procedures,154.0
143,24 Public Transport,E20 Breaches of orders,426.0
144,24 Public Transport,F20 Transport regulation offences,121.0
145,24 Public Transport,F30 Other government regulatory offences,5.0
146,24 Public Transport,F90 Miscellaneous offences,4.0
147,24 Public Transport,Other crimes against the person,292.0
148,25 Other Transport,A20 Assault and related offences,746.0
149,25 Other Transport,A50 Robbery,119.0
150,25 Other Transport,"A70 Stalking, harassment and threatening behaviour",59.0
151,25 Other Transport,A80 Dangerous and negligent acts endangering people,110.0
152,25 Other Transport,B10 Arson,51.0
153,25 Other Transport,B20 Property damage,1527.0
154,25 Other Transport,B30 Burglary/Break and enter,179.0
155,25 Other Transport,B40 Theft,7116.0
156,25 Other Transport,B50 Deception,252.0
157,25 Other Transport,C10 Drug dealing and trafficking,145.0
158,25 Other Transport,C20 Cultivate or manufacture drugs,26.0
159,25 Other Transport,C30 Drug use and possession,1295.0
160,25 Other Transport,D10 Weapons and explosives offences,435.0
161,25 Other Transport,D20 Disorderly and offensive conduct,231.0
162,25 Other Transport,D30 Public nuisance offences,26.0
163,25 Other Transport,E10 Justice procedures,145.0
164,25 Other Transport,E20 Breaches of orders,534.0
165,25 Other Transport,F20 Transport regulation offences,32.0
166,25 Other Transport,F30 Other government regulatory offences,5.0
167,25 Other Transport,F90 Miscellaneous offences,4.0
168,25 Other Transport,Other crimes against the person,125.0
169,26 Justice,A20 Assault and related offences,1109.0
170,26 Justice,A50 Robbery,11.0
171,26 Justice,"A70 Stalking, harassment and threatening behaviour",154.0
172,26 Justice,A80 Dangerous and negligent acts endangering people,29.0
173,26 Justice,B10 Arson,18.0
174,26 Justice,B20 Property damage,302.0
175,26 Justice,B30 Burglary/Break and enter,18.0
176,26 Justice,B40 Theft,153.0
177,26 Justice,B50 Deception,82.0
178,26 Justice,B60 Bribery,1.0
179,26 Justice,C10 Drug dealing and trafficking,68.0
180,26 Justice,C20 Cultivate or manufacture drugs,8.0
181,26 Justice,C30 Drug use and possession,828.0
182,26 Justice,C90 Other drug offences,1.0
183,26 Justice,D10 Weapons and explosives offences,755.0
184,26 Justice,D20 Disorderly and offensive conduct,124.0
185,26 Justice,D30 Public nuisance offences,19.0
186,26 Justice,D40 Public security offences,3.0
187,26 Justice,E10 Justice procedures,821.0
188,26 Justice,E20 Breaches of orders,8366.0
189,26 Justice,F10 Regulatory driving offences,2.0
190,26 Justice,F30 Other government regulatory offences,1.0
191,26 Justice,F90 Miscellaneous offences,5.0
192,26 Justice,Other crimes against the person,90.0
193,27 Open Space,A20 Assault and related offences,876.0
194,27 Open Space,A50 Robbery,336.0
195,27 Open Space,"A70 Stalking, harassment and threatening behaviour",63.0
196,27 Open Space,A80 Dangerous and negligent acts endangering people,66.0
197,27 Open Space,B10 Arson,494.0
198,27 Open Space,B20 Property damage,662.0
199,27 Open Space,B30 Burglary/Break and enter,337.0
200,27 Open Space,B40 Theft,2562.0
201,27 Open Space,B50 Deception,81.0
202,27 Open Space,C10 Drug dealing and trafficking,76.0
203,27 Open Space,C20 Cultivate or manufacture drugs,17.0
204,27 Open Space,C30 Drug use and possession,563.0
205,27 Open Space,D10 Weapons and explosives offences,243.0
206,27 Open Space,D20 Disorderly and offensive conduct,218.0
