,Location Subdivision,Offence Subdivision,Incidents Recorded
207,27 Open Space,D30 Public nuisance offences,22.0
208,27 Open Space,D40 Public security offences,1.0
209,27 Open Space,E10 Justice procedures,79.0
210,27 Open Space,E20 Breaches of orders,312.0
211,27 Open Space,F20 Transport regulation offences,24.0
212,27 Open Space,F30 Other government regulatory offences,6.0
213,27 Open Space,F90 Miscellaneous offences,27.0
214,27 Open Space,Other crimes against the person,383.0
215,28 Street/footpath,A20 Assault and related offences,5333.0
216,28 Street/footpath,A50 Robbery,1362.0
217,28 Street/footpath,"A70 Stalking, harassment and threatening behaviour",495.0
218,28 Street/footpath,A80 Dangerous and negligent acts endangering people,2124.0
219,28 Street/footpath,B10 Arson,541.0
220,28 Street/footpath,B20 Property damage,5061.0
221,28 Street/footpath,B30 Burglary/Break and enter,63.0
222,28 Street/footpath,B40 Theft,29171.0
223,28 Street/footpath,B50 Deception,2016.0
224,28 Street/footpath,C10 Drug dealing and trafficking,898.0
225,28 Street/footpath,C20 Cultivate or manufacture drugs,114.0
226,28 Street/footpath,C30 Drug use and possession,4772.0
227,28 Street/footpath,C90 Other drug offences,3.0
228,28 Street/footpath,D10 Weapons and explosives offences,3259.0
229,28 Street/footpath,D20 Disorderly and offensive conduct,4882.0
230,28 Street/footpath,D30 Public nuisance offences,174.0
231,28 Street/footpath,E10 Justice procedures,4495.0
232,28 Street/footpath,E20 Breaches of orders,3783.0
233,28 Street/footpath,F10 Regulatory driving offences,5.0
234,28 Street/footpath,F20 Transport regulation offences,21.0
235,28 Street/footpath,F30 Other government regulatory offences,18.0
236,28 Street/footpath,F90 Miscellaneous offences,35.0
237,28 Street/footpath,Other crimes against the person,555.0
238,29 Other community location,A20 Assault and related offences,75.0
239,29 Other community location,A50 Robbery,8.0
240,29 Other community location,"A70 Stalking, harassment and threatening behaviour",6.0
241,29 Other community location,A80 Dangerous and negligent acts endangering people,2.0
242,29 Other community location,B10 Arson,8.0
243,29 Other community location,B20 Property damage,236.0
244,29 Other community location,B30 Burglary/Break and enter,200.0
245,29 Other community location,B40 Theft,436.0
246,29 Other community location,B50 Deception,29.0
247,29 Other community location,C10 Drug dealing and trafficking,3.0
248,29 Other community location,C30 Drug use and possession,21.0
249,29 Other community location,D10 Weapons and explosives offences,11.0
250,29 Other community location,D20 Disorderly and offensive conduct,10.0
251,29 Other community location,D30 Public nuisance offences,7.0
252,29 Other community location,E10 Justice procedures,11.0
253,29 Other community location,E20 Breaches of orders,65.0
254,29 Other community location,F20 Transport regulation offences,1.0
255,29 Other community location,F30 Other government regulatory offences,2.0
256,29 Other community location,Other crimes against the person,19.0
257,31 Admin/professional,A20 Assault and related offences,182.0
258,31 Admin/professional,A50 Robbery,5.0
259,31 Admin/professional,"A70 Stalking, harassment and threatening behaviour",103.0
260,31 Admin/professional,A80 Dangerous and negligent acts endangering people,11.0
261,31 Admin/professional,B10 Arson,13.0
262,31 Admin/professional,B20 Property damage,663.0
263,31 Admin/professional,B30 Burglary/Break and enter,1084.0
264,31 Admin/professional,B40 Theft,1189.0
265,31 Admin/professional,B50 Deception,615.0
266,31 Admin/professional,C10 Drug dealing and trafficking,9.0
267,31 Admin/professional,C20 Cultivate or manufacture drugs,3.0
268,31 Admin/professional,C30 Drug use and possession,26.0
269,31 Admin/professional,D10 Weapons and explosives offences,22.0
270,31 Admin/professional,D20 Disorderly and offensive conduct,23.0
271,31 Admin/professional,D30 Public nuisance offences,52.0
272,31 Admin/professional,D40 Public security offences,8.0
273,31 Admin/professional,E10 Justice procedures,12.0
274,31 Admin/professional,E20 Breaches of orders,172.0
275,31 Admin/professional,F10 Regulatory driving offences,1.0
276,31 Admin/professional,F20 Transport regulation offences,1.0
277,31 Admin/professional,F30 Other government regulatory offences,8.0
278,31 Admin/professional,F90 Miscellaneous offences,1.0
279,31 Admin/professional,Other crimes against the person,68.0
280,32 Financial,A20 Assault and related offences,52.0
281,32 Financial,A50 Robbery,24.0
282,32 Financial,"A70 Stalking, harassment and threatening behaviour",6.0
283,32 Financial,A80 Dangerous and negligent acts endangering people,2.0
284,32 Financial,B10 Arson,1.0
285,32 Financial,B20 Property damage,77.0
286,32 Financial,B30 Burglary/Break and enter,18.0
287,32 Financial,B40 Theft,192.0
288,32 Financial,B50 Deception,803.0
289,32 Financial,C20 Cultivate or manufacture drugs,1.0
290,32 Financial,C30 Drug use and possession,5.0
291,32 Financial,D10 Weapons and explosives offences,9.0
292,32 Financial,D20 Disorderly and offensive conduct,7.0
293,32 Financial,D30 Public nuisance offences,1.0
294,32 Financial,D40 Public security offences,1.0
295,32 Financial,E10 Justice procedures,2.0
296,32 Financial,E20 Breaches of orders,24.0
297,32 Financial,Other crimes against the person,4.0
298,33 Retail,A20 Assault and related offences,3344.0
299,33 Retail,A50 Robbery,514.0
300,33 Retail,"A70 Stalking, harassment and threatening behaviour",333.0
301,33 Retail,A80 Dangerous and negligent acts endangering people,175.0
302,33 Retail,B10 Arson,89.0
303,33 Retail,B20 Property damage,3237.0
304,33 Retail,B30 Burglary/Break and enter,4899.0
305,33 Retail,B40 Theft,38954.0
306,33 Retail,B50 Deception,10132.0
307,33 Retail,C10 Drug dealing and trafficking,123.0
308,33 Retail,C20 Cultivate or manufacture drugs,25.0
309,33 Retail,C30 Drug use and possession,541.0
310,33 Retail,C90 Other drug offences,2.0
311,33 Retail,D10 Weapons and explosives offences,668.0
312,33 Retail,D20 Disorderly and offensive conduct,606.0
313,33 Retail,D30 Public nuisance offences,165.0
314,33 Retail,D40 Public security offences,3.0
315,33 Retail,E10 Justice procedures,193.0
316,33 Retail,E20 Breaches of orders,4439.0
317,33 Retail,F30 Other government regulatory offences,23.0
318,33 Retail,F90 Miscellaneous offences,28.0
319,33 Retail,Other crimes against the person,309.0
320,34 Wholesale,A20 Assault and related offences,13.0
321,34 Wholesale,A50 Robbery,1.0
322,34 Wholesale,"A70 Stalking, harassment and threatening behaviour",3.0
323,34 Wholesale,A80 Dangerous and negligent acts endangering people,1.0
324,34 Wholesale,B20 Property damage,23.0
325,34 Wholesale,B30 Burglary/Break and enter,72.0
326,34 Wholesale,B40 Theft,121.0
327,34 Wholesale,B50 Deception,44.0
328,34 Wholesale,C30 Drug use and possession,3.0
329,34 Wholesale,D10 Weapons and explosives offences,2.0
330,34 Wholesale,E20 Breaches of orders,10.0
331,34 Wholesale,Other crimes against the person,3.0
332,35 Warehousing/storage,A20 Assault and related offences,52.0
333,35 Warehousing/storage,A50 Robbery,2.0
334,35 Warehousing/storage,"A70 Stalking, harassment and threatening behaviour",10.0
335,35 Warehousing/storage,A80 Dangerous and negligent acts endangering people,4.0
336,35 Warehousing/storage,B10 Arson,8.0
337,35 Warehousing/storage,B20 Property damage,182.0
338,35 Warehousing/storage,B30 Burglary/Break and enter,692.0
339,35 Warehousing/storage,B40 Theft,659.0
340,35 Warehousing/storage,B50 Deception,58.0
341,35 Warehousing/storage,C10 Drug dealing and trafficking,7.0
342,35 Warehousing/storage,C20 Cultivate or manufacture drugs,3.0
343,35 Warehousing/storage,C30 Drug use and possession,13.0
344,35 Warehousing/storage,D10 Weapons and explosives offences,18.0
345,35 Warehousing/storage,D20 Disorderly and offensive conduct,1.0
346,35 Warehousing/storage,D30 Public nuisance offences,14.0
347,35 Warehousing/storage,E10 Justice procedures,1.0
348,35 Warehousing/storage,E20 Breaches of orders,45.0
349,35 Warehousing/storage,F30 Other government regulatory offences,1.0
350,35 Warehousing/storage,Other crimes against the person,5.0
351,36 Manufacturing,A20 Assault and related offences,143.0
352,36 Manufacturing,A50 Robbery,2.0
353,36 Manufacturing,"A70 Stalking, harassment and threatening behaviour",14.0
354,36 Manufacturing,A80 Dangerous and negligent acts endangering people,6.0
355,36 Manufacturing,B10 Arson,14.0
356,36 Manufacturing,B20 Property damage,285.0
357,36 Manufacturing,B30 Burglary/Break and enter,924.0
358,36 Manufacturing,B40 Theft,1217.0
359,36 Manufacturing,B50 Deception,97.0
360,36 Manufacturing,C10 Drug dealing and trafficking,16.0
361,36 Manufacturing,C20 Cultivate or manufacture drugs,29.0
362,36 Manufacturing,C30 Drug use and possession,26.0
363,36 Manufacturing,D10 Weapons and explosives offences,24.0
364,36 Manufacturing,D20 Disorderly and offensive conduct,2.0
365,36 Manufacturing,D30 Public nuisance offences,15.0
366,36 Manufacturing,D40 Public security offences,1.0
367,36 Manufacturing,E10 Justice procedures,6.0
368,36 Manufacturing,E20 Breaches of orders,49.0
369,36 Manufacturing,F90 Miscellaneous offences,3.0
370,36 Manufacturing,Other crimes against the person,20.0
371,37 Agricultural,A20 Assault and related offences,44.0
372,37 Agricultural,"A70 Stalking, harassment and threatening behaviour",6.0
373,37 Agricultural,A80 Dangerous and negligent acts endangering people,10.0
374,37 Agricultural,B10 Arson,102.0
375,37 Agricultural,B20 Property damage,205.0
376,37 Agricultural,B30 Burglary/Break and enter,262.0
377,37 Agricultural,B40 Theft,822.0
378,37 Agricultural,B50 Deception,21.0
379,37 Agricultural,C10 Drug dealing and trafficking,10.0
380,37 Agricultural,C20 Cultivate or manufacture drugs,4.0
381,37 Agricultural,C30 Drug use and possession,20.0
382,37 Agricultural,D10 Weapons and explosives offences,27.0
383,37 Agricultural,D20 Disorderly and offensive conduct,1.0
384,37 Agricultural,D30 Public nuisance offences,22.0
385,37 Agricultural,E10 Justice procedures,7.0
386,37 Agricultural,E20 Breaches of orders,19.0
387,37 Agricultural,F20 Transport regulation offences,1.0
388,37 Agricultural,F90 Miscellaneous offences,21.0
389,37 Agricultural,Other crimes against the person,15.0
390,38 Recreational,A20 Assault and related offences,1660.0
391,38 Recreational,A50 Robbery,73.0
392,38 Recreational,"A70 Stalking, harassment and threatening behaviour",76.0
393,38 Recreational,A80 Dangerous and negligent acts endangering people,53.0
394,38 Recreational,B10 Arson,56.0
395,38 Recreational,B20 Property damage,919.0
396,38 Recreational,B30 Burglary/Break and enter,1343.0
397,38 Recreational,B40 Theft,5148.0
398,38 Recreational,B50 Deception,634.0
399,38 Recreational,C10 Drug dealing and trafficking,77.0
400,38 Recreational,C20 Cultivate or manufacture drugs,3.0
401,38 Recreational,C30 Drug use and possession,464.0
402,38 Recreational,C90 Other drug offences,10.0
403,38 Recreational,D10 Weapons and explosives offences,188.0
404,38 Recreational,D20 Disorderly and offensive conduct,761.0
405,38 Recreational,D30 Public nuisance offences,57.0
406,38 Recreational,E10 Justice procedures,84.0
407,38 Recreational,E20 Breaches of orders,732.0
408,38 Recreational,F20 Transport regulation offences,1.0
409,38 Recreational,F30 Other government regulatory offences,51.0
410,38 Recreational,F90 Miscellaneous offences,6.0
411,38 Recreational,Other crimes against the person,331.0
412,39 Other location,A20 Assault and related offences,251.0
413,39 Other location,A50 Robbery,15.0
414,39 Other location,"A70 Stalking, harassment and threatening behaviour",104.0
415,39 Other location,A80 Dangerous and negligent acts endangering people,57.0
416,39 Other location,B10 Arson,58.0
417,39 Other location,B20 Property damage,545.0
418,39 Other location,B30 Burglary/Break and enter,1383.0
419,39 Other location,B40 Theft,2566.0
420,39 Other location,B50 Deception,367.0
421,39 Other location,C10 Drug dealing and trafficking,71.0
422,39 Other location,C20 Cultivate or manufacture drugs,7.0
423,39 Other location,C30 Drug use and possession,281.0
424,39 Other location,C90 Other drug offences,3.0
425,39 Other location,D10 Weapons and explosives offences,193.0
426,39 Other location,D20 Disorderly and offensive conduct,75.0
427,39 Other location,D30 Public nuisance offences,65.0
428,39 Other location,E10 Justice procedures,134.0
429,39 Other location,E20 Breaches of orders,519.0
430,39 Other location,F10 Regulatory driving offences,1.0
431,39 Other location,F20 Transport regulation offences,11.0
432,39 Other location,F30 Other government regulatory offences,13.0
433,39 Other location,F90 Miscellaneous offences,4.0
434,39 Other location,Other crimes against the person,143.0
